"filename", "language", "JavaScript", "SCSS", "JavaScript React", "JSON", "comment", "blank", "total"
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/SelectTopping/index.js", "JavaScript", 2, 0, 0, 0, 0, 2, 4
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/SelectToppingCard/SelectToppingCard.jsx", "JavaScript React", 0, 0, 84, 0, 14, 11, 109
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/SelectToppingCard/SelectToppingCard.scss", "SCSS", 0, 16, 0, 0, 0, 4, 20
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/SelectToppingCard/index.js", "JavaScript", 2, 0, 0, 0, 0, 2, 4
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/StaffDetail/StaffDetail.jsx", "JavaScript React", 0, 0, 81, 0, 1, 18, 100
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/StaffDetail/StaffDetail.scss", "SCSS", 0, 40, 0, 0, 3, 10, 53
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/StaffDetail/index.js", "JavaScript", 2, 0, 0, 0, 0, 2, 4
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/StaffEdit/StaffEdit.jsx", "JavaScript React", 0, 0, 257, 0, 23, 40, 320
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/StaffEdit/StaffEdit.scss", "SCSS", 0, 37, 0, 0, 2, 9, 48
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/StaffEdit/index.js", "JavaScript", 2, 0, 0, 0, 0, 2, 4
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/StaffList/DataListView.js", "JavaScript", 87, 0, 0, 0, 10, 6, 103
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/StaffList/ImageListView.js", "JavaScript", 69, 0, 0, 0, 1, 3, 73
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/StaffList/StaffList.jsx", "JavaScript React", 0, 0, 138, 0, 2, 21, 161
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/StaffList/StaffList.scss", "SCSS", 0, 2, 0, 0, 0, 1, 3
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/StaffList/ThumbListView.js", "JavaScript", 75, 0, 0, 0, 1, 4, 80
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/StaffList/data-list.js", "JavaScript", 319, 0, 0, 0, 18, 29, 366
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/StaffList/index.js", "JavaScript", 2, 0, 0, 0, 0, 2, 4
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/ToppingGroupCreate/ToppingGroupCreate.js", "JavaScript", 153, 0, 0, 0, 10, 16, 179
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/ToppingGroupCreate/ToppingGroupCreate.scss", "SCSS", 0, 2, 0, 0, 0, 1, 3
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/ToppingGroupCreate/index.js", "JavaScript", 2, 0, 0, 0, 0, 2, 4
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/ToppingGroupDetail/ToppingGroupDetail.jsx", "JavaScript React", 0, 0, 111, 0, 1, 17, 129
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/ToppingGroupDetail/ToppingGroupDetail.scss", "SCSS", 0, 37, 0, 0, 2, 9, 48
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/ToppingGroupDetail/index.js", "JavaScript", 2, 0, 0, 0, 0, 2, 4
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/ToppingGroupEdit/ToppingGroupEdit.jsx", "JavaScript React", 0, 0, 227, 0, 3, 27, 257
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/ToppingGroupEdit/ToppingGroupEdit.scss", "SCSS", 0, 37, 0, 0, 2, 9, 48
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/ToppingGroupEdit/index.js", "JavaScript", 2, 0, 0, 0, 0, 2, 4
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/ToppingGroupList/DataListView.js", "JavaScript", 75, 0, 0, 0, 2, 8, 85
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/ToppingGroupList/ToppingGroupList.js", "JavaScript", 262, 0, 0, 0, 2, 34, 298
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/ToppingGroupList/ToppingGroupList.scss", "SCSS", 0, 2, 0, 0, 0, 1, 3
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/ToppingGroupList/data-list.js", "JavaScript", 357, 0, 0, 0, 5, 28, 390
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/ToppingGroupList/index.js", "JavaScript", 2, 0, 0, 0, 0, 2, 4
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/ToppingItemCreate/ToppingItemCreate.js", "JavaScript", 280, 0, 0, 0, 50, 31, 361
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/ToppingItemCreate/ToppingItemCreate.scss", "SCSS", 0, 2, 0, 0, 0, 1, 3
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/ToppingItemCreate/index.js", "JavaScript", 2, 0, 0, 0, 0, 2, 4
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/ToppingItemDetail/ToppingItemDetail.jsx", "JavaScript React", 0, 0, 111, 0, 1, 20, 132
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/ToppingItemDetail/ToppingItemDetail.scss", "SCSS", 0, 37, 0, 0, 2, 9, 48
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/ToppingItemDetail/index.js", "JavaScript", 2, 0, 0, 0, 0, 2, 4
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/ToppingItemEdit/ToppingItemEdit.jsx", "JavaScript React", 0, 0, 319, 0, 21, 40, 380
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/ToppingItemEdit/ToppingItemEdit.scss", "SCSS", 0, 37, 0, 0, 2, 9, 48
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/ToppingItemEdit/index.js", "JavaScript", 2, 0, 0, 0, 0, 2, 4
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/ToppingList/ToppingList.js", "JavaScript", 345, 0, 0, 0, 5, 41, 391
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/ToppingList/ToppingList.scss", "SCSS", 0, 2, 0, 0, 0, 1, 3
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/ToppingList/data-list.js", "JavaScript", 357, 0, 0, 0, 23, 30, 410
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/ToppingList/index.js", "JavaScript", 2, 0, 0, 0, 0, 2, 4
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/analytics/analytics.js", "JavaScript", 440, 0, 0, 0, 71, 66, 577
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/analytics/index.js", "JavaScript", 19, 0, 0, 0, 0, 2, 21
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/blank-page.js", "JavaScript", 24, 0, 0, 0, 0, 2, 26
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/cashier/cashier.js", "JavaScript", 25, 0, 0, 0, 0, 2, 27
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/cashier/index.js", "JavaScript", 18, 0, 0, 0, 0, 3, 21
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/dishes/data-list.js", "JavaScript", 319, 0, 0, 0, 37, 30, 386
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/dishes/dishes.js", "JavaScript", 172, 0, 0, 0, 10, 22, 204
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/dishes/index.js", "JavaScript", 52, 0, 0, 0, 1, 13, 66
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/dishes/mockData.json", "JSON", 0, 0, 0, 129, 0, 0, 129
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/dishes/utils.js", "JavaScript", 6, 0, 0, 0, 0, 2, 8
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/edit/edit.js", "JavaScript", 375, 0, 0, 0, 90, 37, 502
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/edit/edit.scss", "SCSS", 0, 25, 0, 0, 1, 5, 31
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/edit/index.js", "JavaScript", 18, 0, 0, 0, 0, 3, 21
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/home/home.js", "JavaScript", 249, 0, 0, 0, 11, 24, 284
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/home/home.scss", "SCSS", 0, 62, 0, 0, 8, 13, 83
"/Users/mac/Workspaces/Code/foa/frontend/src/views/app/home/index.js", "JavaScript", 24, 0, 0, 0, 0, 3, 27
